;ngrams_western_adjective_example_data 3-grams in 1874;ngrams_western_adjective_example_data 3-grams count in 1874;total 3-grams in 1874;ngrams_western_adjective_example_data 3-grams in 1904;ngrams_western_adjective_example_data 3-grams count in 1904;total 3-grams in 1904;ngrams_western_adjective_example_data 3-grams in 1908;ngrams_western_adjective_example_data 3-grams count in 1908;total 3-grams in 1908
0;weg der westersche;1;6;;;0;voor 't westersch;1;2
1;der westersche beschaving,;1;;;;;'t westersch denken.;1;
2;westersche beschaving, op;1;;;;;;;
3;wapenrusting der westersche;1;;;;;;;
4;der westersche volken;1;;;;;;;
5;westersche volken aan,;1;;;;;;;
