;ngrams_western_adjective_example_data 2-grams in 1874;ngrams_western_adjective_example_data 2-grams count in 1874;total 2-grams in 1874;ngrams_western_adjective_example_data 2-grams in 1904;ngrams_western_adjective_example_data 2-grams count in 1904;total 2-grams in 1904;ngrams_western_adjective_example_data 2-grams in 1908;ngrams_western_adjective_example_data 2-grams count in 1908;total 2-grams in 1908
0;der westersche;2;4;;;0;'t westersch;1;2
1;westersche beschaving,;1;;;;;westersch denken.;1;
2;westersche volken;1;;;;;;;
